genre1,genre2,genre3,Country1,Country2,Country3,Releas_date,Main_Acter,Director1,Director2,Director3,type,title,release_year,rating,duration
Comedies,,,United States,,,אפר-16,Miles Teller,Maciej Dejczer,,,Movie,21 & Over,2013,6.1,93 min
International TV Shows,TV Dramas,,India,,,דצמ-01,Luke Kenny,Jack C. Newell,,,TV Show,21 Sarfarosh: Saragarhi 1897,2018,8.5,1 Season
Crime TV Shows,International TV Shows,TV Dramas,Canada,,,מרץ-01,Stephanie Bennett,Marco Deufemia,Justin G. Dyck,,TV Show,21 Thunder,2017,7.2,1 Season
Action & Adventure,Independent Movies,Sci-Fi & Fantasy,United States,,,מרץ-01,Paul Sidhu,Gerardo Olivares,,,Movie,2307: Winter's Dream,2016,4.4,101 min
Action & Adventure,,,South Africa,China,United States,אפר-07,Ethan Hawke,Andrew Nackman,,,Movie,24 Hours to Live,2017,5.9,93 min
Action & Adventure,Dramas,International Movies,India,,,אוק-01,Guggu Gill,Anggy Umbara,,,Movie,25 Kille,2016,5.9,140 min
Dramas,International Movies,Thrillers,South Korea,,,אוק-01,Goo Jin,Richard Loncraine,,,Movie,26 Years,2012,6.3,135 min
Action & Adventure,Comedies,International Movies,Argentina,,,מאי-01,Diego Capusotto,Marco Risi,,,Movie,"27, el club de los malditos",2018,3.7,82 min
Documentaries,,,United Kingdom,,,מאי-01,Janis Joplin,Victor Levin,,,Movie,27: Gone Too Soon,2017,4.8,70 min
International TV Shows,Korean TV Shows,Romantic TV Shows,none,,,יונ-10,Jin-sung Yang,Jonathan Levine,,,TV Show,28 Moons,2016,7.3,1 Season
Dramas,International Movies,Thrillers,none,,,דצמ-31,Naseeruddin Shah,Rizal Mantovani,,,Movie,3 Deewarein,2003,7.9,121 min
Dramas,LGBTQ Movies,,United States,,,אוג-28,Elle Fanning,Marja Lewis Ryan,,,Movie,3 Generations,2015,6,92 min
Dramas,International Movies,Sports Movies,Indonesia,,,ינו-05,Reza Rahadian,Toa Fraser,,,Movie,3 Heroines,2016,5.6,124 min
Comedies,Dramas,International Movies,India,,,אוג-01,Aamir Khan,Michael Bay,,,Movie,3 Idiots,2009,8.5,164 min
Documentaries,Faith & Spirituality,,Canada,,,יונ-15,bam,Hannah Fidell,,,Movie,3 Seconds Divorce,2018,7.2,53 min
Comedies,International Movies,,Germany,,,דצמ-15,Kostja Ullmann,Bharat Jain,,,Movie,3 Tֳ¼rken & ein Baby,2015,5.6,93 min
Comedies,International Movies,,Egypt,,,אפר-18,Taher Farouz,Trent Haaga,,,Movie,30 Days of Luxury,2016,2.9,91 min
Dramas,International Movies,,Denmark,France,Poland,אוק-01,Krzysztof Stroiֵ„ski,Nizar Shafi,,,Movie,300 Miles to Heaven,1989,7.3,93 min
Kids' TV,TV Action & Adventure,TV Sci-Fi & Fantasy,United States,,, July 12,Tatiana Maslany,Roger Gual,,,TV Show,3Below: Tales of Arcadia,2019,7.9,2 Seasons
Documentaries,,,United States,,,פבר-01,Jake Bickelhaupt,Meenu Gaur,Farjad Nabi,,Movie,42 Grams,2017,7.4,81 min
International TV Shows,Romantic TV Shows,Spanish-Language TV Shows,Spain,,,אוג-16,Carlos Cuevas,Vishal Bhardwaj,,,TV Show,45 rpm,2019,7.7,1 Season
Children & Family Movies,Comedies,,Canada,,,דצמ-20,Khiyla Aynne,Anita Udeep,,,Movie,48 Christmas Wishes,2017,4.2,84 min
Comedies,Dramas,Independent Movies,Spain,,,יול-12,Jean Reno,Steve Gukas,,,Movie,4L,2019,6.1,105 min
Comedies,LGBTQ Movies,,United States,,,מאי-05,Evan Todd,Clay Glen,,,Movie,4th Man Out,2015,6.8,86 min
Action & Adventure,Comedies,International Movies,none,,,ינו-05,Ario Bayu,Everardo Gonzֳ¡lez,,,Movie,5 Cowok Jagoan,2017,6.7,106 min
Comedies,Dramas,Independent Movies,United States,,,מרץ-17,Josh Pais,Andrew Lau Wai-Keung,,,Movie,5 Flights Up,2014,6.3,92 min
Comedies,International Movies,,Italy,,,דצמ-07,Massimo Ghini,Padmakumar Narasimhamurthy,,,Movie,5 Star Christmas,2018,4.5,96 min
Comedies,Dramas,Romantic Movies,United States,,,מרץ-16,Anton Yelchin,John Asher,,,Movie,5 to 7,2014,7.4,97 min
Comedies,Dramas,Independent Movies,United States,,,יונ-01,Joseph Gordon-Levitt,Alex Zamm,,,Movie,50/50,2011,7.7,100 min
Dramas,International Movies,,Indonesia,,,ספט-28,Herjunot Ali,John Schultz,,,Movie,5CM,2012,7.9,126 min
Dramas,Independent Movies,,United States,,,אפר-06,Abbi Jacobson,John Schultz,,,Movie,6 Balloons,2018,6,75 min
Action & Adventure,Dramas,International Movies,New Zealand,United Kingdom,,פבר-08,Jamie Bell,Thomas Astruc,,,Movie,6 Days,2017,6.3,94 min
Action & Adventure,Dramas,,United States,,,דצמ-13,Ryan Reynolds,Mark Rosman,,,Movie,6 Underground,2019,6.3,129 min
Dramas,Independent Movies,Romantic Movies,United States,,,ספט-08,Taissa Farmiga,Michelle Johnston,,,Movie,6 Years,2015,5.7,80 min
Horror Movies,International Movies,Thrillers,India,,,נוב-01,Prashantt Guptha,Stephen Gyllenhaal,,,Movie,6-5=2,2014,6.6,103 min
Comedies,Independent Movies,Thrillers,United States,,,ספט-01,Matthew Gray Gubler,Savage Steve Holland,,,Movie,68 Kill,2017,6.1,96 min
TV Shows,,,India,,,יול-30,Rahman,Tyler Perry,,,TV Show,7 (Seven),2019,0,1 Season
Dramas,International Movies,,Spain,,,אוק-27,Paco Leֳ³n,Tom Fassaert,,,Movie,7 aֳ±os,2016,6.8,77 min
Docuseries,,,United States,,,דצמ-21,bam,Mark Williams,,,TV Show,7 Days Out,2018,6.9,1 Season
Comedies,International Movies,Music & Musicals,Pakistan,,,מאי-15,Mahira Khan,Robbie Countryman,,,Movie,7 Din Mohabbat In,2018,6.3,137 min
Dramas,International Movies,Thrillers,India,,,אוג-02,Priyanka Chopra,Remo D'Souza,,,Movie,7 Khoon Maaf,2011,6.3,148 min
Docuseries,International TV Shows,Science & Nature TV,Australia,,,יונ-01,bam,Bille August,,,TV Show,72 Cutest Animals,2016,5.6,1 Season
Docuseries,International TV Shows,Science & Nature TV,Australia,,,אוג-10,Bob Brisbane,David Wain,,,TV Show,72 Dangerous Animals: Asia,2018,6.6,1 Season
Docuseries,International TV Shows,Science & Nature TV,Australia,United States,,דצמ-22,Bob Brisbane,David Lowery,,,TV Show,72 Dangerous Animals: Latin America,2017,6.6,1 Season
Docuseries,International TV Shows,Science & Nature TV,Australia,,,יונ-01,Mitch Ryan,Roman Coppola,,,TV Show,72 Dangerous Places to Live,2016,6.5,1 Season
Anime Series,International TV Shows,,none,,,יונ-28,Nao Toyama,Richard Mears,,,TV Show,7SEEDS,2019,6.7,1 Season
Sports Movies,,,United Kingdom,,,מאי-16,Lee Dixon,Erik Nelson,,,Movie,'89,2017,0,87 min
British TV Shows,Docuseries,Science & Nature TV,United States,,,מרץ-01,Demetri Goritsas,Teo Konuralp,,,TV Show,9 Months That Made You,2016,7.1,1 Season
Comedies,International Movies,Music & Musicals,India,,,אוג-13,Oviya,Thomas Stuber,,,Movie,90 ML,2019,3.9,123 min
Dramas,International Movies,Thrillers,Nigeria,,,אוק-18,Bimbo Akintola,Jim Fall,,,Movie,93 Days,2016,6.2,121 min
Children & Family Movies,Dramas,Sports Movies,Australia,,,יול-01,Nina Pearce,Herman Yau,,,Movie,A 2nd Chance,2011,5.4,95 min
Documentaries,International Movies,,Mexico,United States,,אוק-28,bam,Andy Goddard,,,Movie,A 3 Minute Hug,2019,6.5,28 min
Dramas,International Movies,Romantic Movies,China,Hong Kong,,דצמ-01,Qi Shu,Yeo Siew Hua,,,Movie,A Beautiful Life,2011,7,122 min
Dramas,Independent Movies,International Movies,India,,,אפר-01,Dhruva Padmakumar,Chris Bell,,,Movie,A Billion Colour Story,2016,8.3,104 min
Dramas,Sci-Fi & Fantasy,,United States,,,ינו-15,Christopher Gorham,Alan Rickman,,,Movie,A Boy Called Po,2016,7.4,94 min
International TV Shows,TV Comedies,TV Dramas,Taiwan,,,ספט-01,Crowd Lu,Maryo J. De los Reyes,,,TV Show,A Boy Name Flora A,2017,7.6,1 Season
Children & Family Movies,Dramas,Romantic Movies,United States,,,נוב-17,Rose McIver,Thomas Sorriaux,,,Movie,A Christmas Prince,2017,6.1,92 min
Children & Family Movies,Dramas,Romantic Movies,none,,,דצמ-05,Rose McIver,Ahmad El-Badri,,,Movie,A Christmas Prince: The Royal Baby,2019,5.5,85 min
Children & Family Movies,Dramas,Romantic Movies,United States,,,נוב-30,Rose McIver,J.C. Chandor,,,Movie,A Christmas Prince: The Royal Wedding,2018,5.5,93 min
Movies,,,France,South Korea,Japan,דצמ-20,Cristina Vee,Christopher S. Rech,Brandon Kimber,,Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,2016,0,22 min
Children & Family Movies,Comedies,,United States,Canada,,ינו-01,Hilary Duff,John Fortenberry,,,Movie,A Cinderella Story,2004,6.3,95 min
Children & Family Movies,Comedies,Music & Musicals,United States,,,דצמ-01,Laura Marano,Joram Lֳ¼rsen,,,Movie,A Cinderella Story: Christmas Wish,2019,5.4,86 min
Dramas,Romantic Movies,,United States,,,אפר-01,Debra Winger,Michael Lennox,,,Movie,A Dangerous Woman,1993,6.2,101 min
Children & Family Movies,Comedies,,United States,,,נוב-02,Drake Bell,Nicole Conn,,,Movie,A Fairly Odd Summer,2014,4.9,68 min
Dramas,Thrillers,,none,,,ינו-17,Crystal Fox,Kees Van Oostrum,,,Movie,A Fall from Grace,2020,6.1,121 min
Documentaries,International Movies,,Netherlands,Denmark,South Africa,אוק-16,Tom Fassaert,Marina Seresesky,,,Movie,A Family Affair,2015,7.2,111 min
Dramas,,,Canada,United States,,דצמ-15,Gerard Butler,Henry Sarwer-Foner,,,Movie,A Family Man,2016,6.7,110 min
Movies,,,United States,,,דצמ-09,Loretta Devine,Ishaan Trivedi,,,Movie,A Family Reunion Christmas,2019,5.9,29 min
Action & Adventure,International Movies,Sci-Fi & Fantasy,India,,,נוב-15,Tiger Shroff,Cathy Garcia-Molina,,,Movie,A Flying Jatt,2016,3.9,142 min
Dramas,International Movies,,Denmark,,,אפר-20,Esben Smed,Asghar Farhadi,,,Movie,A Fortunate Man,2018,7.4,168 min
Comedies,,,United States,,,ינו-26,Will Forte,Ethan Coen,Joel Coen,,Movie,A Futile and Stupid Gesture,2018,6.9,102 min
Dramas,Independent Movies,,United States,,,ינו-07,Casey Affleck,Naoko Yamada,,,Movie,A Ghost Story,2017,6.8,92 min
Comedies,Independent Movies,,United States,,,יול-15,Charlie Sheen,Tom Ford,,,Movie,A Glimpse Inside the Mind of Charles Swan III,2012,5.1,86 min
International TV Shows,Romantic TV Shows,TV Dramas,Taiwan,,,ינו-01,Tien Hsin,Diego Lerman,,,TV Show,A Good Wife,2013,6.6,1 Season
Documentaries,,,United Kingdom,,,נוב-01,Julie Walters,Maria Burton,,,Movie,A Grand Night In: The Story of Aardman,2015,7.5,59 min
Documentaries,,,United States,,,דצמ-25,bam,Larry Elikann,,,Movie,A Gray State,2017,6.2,93 min
Horror Movies,Independent Movies,,United States,,,ספט-17,Laura Flannery,Evan Spiridellis,Jeff Gill,,Movie,A Haunting at Silver Falls: The Return,2019,3.6,80 min
Dramas,Independent Movies,International Movies,Germany,,,פבר-15,Peter Kurth,Natalie Portman,,,Movie,A Heavy Heart,2015,7.1,109 min
Children & Family Movies,Comedies,Romantic Movies,United States,,,נוב-04,Bonnie Somerville,Trisha Ziff,,,Movie,A Holiday Engagement,2011,6.2,92 min
