Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
1,30,22,10,,,134,2637,,,0,69,3,1,,,,Correlations (Director3),
2,10,35,34,,,135,2243,,,1,59,3,117,,,,0.048068434,janner 1 
5,1,,22,,,136,2012,,,0,62,2,1,,,,-0.121144825,janner 2
7,10,17,19,,,137,2072,,,1,68,1,97,,,,0.042466553,janner 3
7,10,,10,,,138,1209,,,1,64,1,98,,,,0.07962205,country 1
2,18,,35,4,,139,567,,,1,66,2,125,,,,-0.124557395,country 2
6,,,4,,,12,2468,,,1,66,2,91,,,,-1,country 3
6,10,,1,,,12,3104,,,1,69,2,76,,,,-0.038379592,Main_Acter
7,31,,4,,,140,2455,,,1,50,2,82,,,,-0.249118456,Director1
2,10,,33,,,141,2411,,,1,67,2,111,,,,-0.103350893,Director2
2,18,,21,,,142,2146,,,1,67,2,92,,,,1,Director3
2,28,,4,,,143,3099,,,1,64,2,110,,,,0.127578025,type
2,28,35,4,,,144,3102,,,1,65,1,94,,,,0.02739005,release_year
6,,,21,23,,145,2487,,,1,68,3,100,,,,-0.050059383,rating
7,10,,14,,,146,353,,,1,71,1,94,,,,0.192059318,duration[Seasons/Min]
20,,,12,,,147,2501,,,1,63,1,44,,,,,
10,18,,6,,,148,2501,,,1,68,1,108,,,,,
2,10,35,34,,,149,2839,,,1,67,1,130,,,,Correlations (type),
2,10,,36,19,,150,1144,,,1,63,3,123,,,,-0.199356429,janner 1 
12,26,23,4,,,151,56,,,0,71,3,3,,,,-0.190195392,janner 2
7,28,,4,21,19,152,1559,3527,,1,61,2,106,,,,-0.218572972,janner 3
21,10,,37,,,153,562,,,1,68,3,130,,,,-0.145194505,country 1
2,28,,4,,,154,620,2337,,1,61,3,100,,,,0.061147745,country 2
2,10,18,24,1,19,155,2522,,,1,69,2,96,,,,0.042908673,country 3
2,28,,4,,,109,719,,,1,67,2,89,,,,-0.065562566,Main_Acter
2,,,4,,,156,191,,,1,40,1,95,,,,-0.000694147,Director1
8,,,4,,,157,586,,,1,69,2,26,,,,0.061875174,Director2
1,22,,10,,,158,2475,,,0,70,3,1,,,,0.127578025,Director3
2,10,,38,4,,159,1545,,,1,67,1,98,,,,1,type
6,10,,10,,,12,1543,,,1,71,2,30,,,,-0.171231308,release_year
1,22,,32,,,160,1847,,,0,71,3,1,,,,-0.288221748,rating
7,10,,9,,,32,3149,,,1,68,1,99,,,0.889312082,,duration[Seasons/Min]
2,10,,39,24,14,161,1214,,,1,70,3,122,,,,,
7,29,,4,,,162,1307,,,1,67,1,57,,,,,
1,23,,19,,,163,2889,,,0,70,3,2,,,,Correlations (release_year),
4,2,10,6,,,164,2574,,,1,60,3,103,,,,-0.072659947,janner 1 
6,,,4,,,12,951,,,1,69,2,91,,,,0.064546256,janner 2
13,,,12,,,165,294,,,1,69,1,91,,,,0.079294813,janner 3
13,,,4,,,166,2692,,,1,70,1,110,,,,0.083215191,country 1
15,1,,4,,,167,1356,,,0,67,3,1,,,,0.011286526,country 2
2,28,10,3,19,,168,1711,,,1,68,1,111,,,,0.047614955,country 3
9,23,22,21,,,169,1360,,,0,65,3,2,,,,-0.008526808,Main_Acter
22,,,4,,,170,2145,,,0,67,3,1,,,,-0.004218502,Director1
16,1,,37,,,171,520,,,0,70,2,1,,,,0.036657342,Director2
3,,,12,,,172,504,,,1,71,1,77,,,,0.02739005,Director3
4,13,28,4,,,173,2595,,,1,70,1,99,,,,-0.171231308,type
2,10,35,5,,,174,2196,,,1,63,3,122,,,,1,release_year
7,10,,6,,,175,2997,,,1,69,3,150,,,,-0.05231881,rating
