Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
7,10,,6,,,2289,1194,,,1,70,2,135,,,,,
2,,,4,21,,2290,1351,,,1,71,3,137,,,,,
15,,22,4,,,2291,541,,,0,70,3,2,,,,,
1,22,,19,,,137,2152,,,0,70,2,2,,,,,
4,10,,23,31,,2292,2423,,,1,38,2,90,,,,,
20,,,4,,,2293,1652,,,1,54,1,104,,,,,
6,,,4,,,1856,1652,,,1,69,3,55,,,,,
20,,,12,,,2294,1552,,,1,71,2,62,,,,,
6,10,,6,,,12,1225,,,1,68,3,83,,,,,
6,17,,10,,,2295,1338,,,1,66,1,77,,,,,
13,11,,4,,,2296,2774,,,1,67,1,74,,,,,
26,33,,4,,,2297,1532,,,0,71,3,6,,,,,
5,26,,4,,,2298,735,3476,,0,70,3,3,,,,,
13,11,,4,,,1696,1369,3505,,1,68,1,75,,,,,
5,26,22,4,,,2299,651,,,0,70,2,2,,,,,
4,11,,4,,,1811,896,,,1,65,1,72,,,,,
5,26,22,4,,,2300,2674,,,0,71,3,3,,,,,
5,26,22,4,,,2301,2691,,,0,70,3,2,,,,,
5,26,22,4,,,2298,2172,,,0,69,3,1,,,,,
5,26,,4,,,2302,2538,,,0,71,3,2,,,,,
21,13,,37,,,2303,2181,,,1,70,2,103,,,,,
2,10,17,6,,,93,689,,,1,66,2,120,,,,,
13,29,,4,21,,2304,1940,,,1,70,2,131,,,,,
9,1,27,21,,,2305,167,,,0,68,2,1,,,,,
7,,,4,,,2306,2676,,,1,68,1,95,,,,,
12,,,51,,,2307,2368,3513,6,0,70,3,3,,,,,
12,,,4,51,,12,747,3280,,0,64,1,1,,,,,
12,,,10,,,12,295,3256,,0,64,1,1,,,,,
2,28,10,6,,,1665,1402,,,1,35,3,138,,,,,
4,10,,22,,,1808,430,,,1,68,2,143,,,,,
23,,,4,,,418,1135,,,0,69,3,2,,,,,
4,10,,23,31,,2308,3007,,,1,70,2,108,,,,,
2,28,,4,,,2309,2580,,,1,66,2,92,,,,,
2,28,10,24,,,2310,2580,,,1,69,1,80,,,,,
7,2,10,6,,,2311,2580,,,1,58,2,132,,,,,
20,,,2,,,2312,2580,,,1,70,2,57,,,,,
4,2,10,6,,,465,1301,,,1,70,2,136,,,,,
2,28,,4,,,2313,58,,,1,65,2,84,,,,,
3,10,,25,,,2197,727,,,1,70,2,111,,,,,
2,10,,23,,,2314,635,,,1,66,1,99,,,,,
7,10,29,15,,,2315,84,,,1,69,1,93,,,,,
6,,,4,,,2316,200,,,1,68,1,114,,,,,
2,10,29,19,21,6,2317,2511,,,1,45,2,122,,,,,
10,29,,31,32,,2318,763,,,1,71,3,120,,,,,
6,,,4,,,12,3041,,,1,69,1,100,,,,,
20,,,10,,,2319,2248,,,1,69,2,67,,,,,
7,10,35,6,,,2320,2016,,,1,40,2,132,,,,,
7,2,10,2,,,2321,2239,3330,,1,68,1,83,,,,,
20,,,2,,,2322,3214,,,1,69,1,54,,,,,
2,28,18,12,,,2323,94,,,1,68,2,105,,,,,
24,2,28,4,,,2324,3164,,,1,25,3,112,,,,,
15,27,,4,,,2325,576,,,0,71,3,4,,,,,
15,22,,4,,,2326,134,,,0,70,3,1,,,,,
5,26,23,4,,,2327,1998,,,0,72,1,1,,,,,
1,22,,16,21,19,654,721,,,0,70,3,2,,,,,
2,,,12,,,2328,1895,,,1,69,3,94,,,,,
3,10,18,7,60,,2329,329,3475,,1,37,2,90,,,,,
9,23,,21,,,2330,583,3457,43,0,68,3,3,,,,,
6,,,21,,,12,1482,,,1,69,1,48,,,,,
9,15,1,21,,,12,469,,,0,65,2,1,,,,,
27,,,30,,,12,165,,,0,64,2,1,,,,,
2,10,,6,,,2331,318,,,1,69,2,150,,,,,
2,10,35,6,,,2332,2450,,,1,71,3,126,,,,,
2,10,35,6,,,2333,333,,,1,69,2,110,,,,,
1,30,23,10,,,12,1607,,,0,68,1,1,,,,,
7,2,28,4,,,2334,1319,,,1,55,2,84,,,,,
2,10,18,22,,,2335,212,,,1,69,2,118,,,,,
5,1,,22,,,954,1738,3426,,0,70,3,1,,,,,
6,,,26,4,45,12,3122,,,1,70,2,86,,,,,
1,30,22,10,,,2336,397,,,0,69,3,1,,,,,
4,7,11,4,,,2337,927,3504,,1,49,2,98,,,,,
4,7,11,4,,,2337,1226,,,1,54,1,88,,,,,
1,,19,22,,,2338,3212,,,0,71,3,4,,,,,
2,28,,12,14,,2339,113,,,1,68,1,81,,,,,
4,2,10,25,,,1592,1212,,,1,61,2,112,,,,,
6,,,28,,,2340,2554,,,1,70,3,88,,,,,
2,10,17,19,,,2341,2554,,,1,68,1,99,,,,,
6,,,4,,,12,1984,,,1,70,2,79,,,,,
2,18,,4,,,2342,1556,3434,27,1,68,2,88,,,,,
3,,,4,,,2343,1235,,,1,71,1,88,,,,,
1,22,,10,,,2344,2870,,,0,70,3,1,,,,,
2,10,,6,,,2345,584,,,1,71,2,103,,,,,
2,28,10,6,,,2346,3244,,,1,70,3,115,,,,,
1,22,,14,,,2347,2716,,,0,67,3,1,,,,,
9,1,26,21,,,2348,425,,,0,64,3,5,,,,,
23,,,4,,,2349,2731,,,0,71,2,1,,,,,
7,10,,9,,,957,1600,,,1,70,1,106,,,,,
4,2,10,6,,,2350,1354,,,1,69,3,162,,,,,
28,18,,21,19,52,613,2478,,,1,69,2,103,,,,,
22,,,4,,,2351,3109,,,0,72,3,1,,,,,
14,,,4,,,2352,2302,,,0,66,3,1,,,,,
1,30,22,31,,,2353,2929,,,0,70,3,1,,,,,
2,10,18,6,,,2354,1656,,,1,68,2,116,,,,,
6,10,29,2,,,12,3004,,,1,68,2,100,,,,,
1,27,34,4,,,12,1242,,,0,68,1,1,,,,,
4,7,10,19,37,,2355,2885,,,1,69,2,95,,,,,
13,7,2,49,,,2356,1242,2885,,1,71,1,102,,,,,
7,10,,24,14,,2357,1208,,,1,70,2,105,,,,,
7,10,11,6,,,177,1086,,,1,61,3,148,,,,,
4,2,10,21,,,2358,1076,,,1,67,3,105,,,,,
12,,,33,26,16,2359,1324,,,0,67,3,2,,,,,
2,28,10,6,,,65,1379,,,1,63,1,86,,,,,
7,29,35,4,,,2360,1301,,,1,69,1,54,,,,,
20,,,4,,,2361,519,,,1,68,2,61,,,,,
6,10,,12,4,,12,2384,,,1,69,1,19,,,,,
20,,,4,,,2362,511,,,1,71,2,60,,,,,
13,7,,4,59,,2363,1862,,,1,68,2,92,,,,,
1,22,,37,,,2364,2974,,,0,71,3,2,,,,,
1,23,,6,,,2365,278,,,0,70,1,1,,,,,
12,23,,10,,,12,339,602,,0,71,3,2,,,,,
12,23,,6,,,2366,1702,,,0,71,2,1,,,,,
12,,,4,37,,2367,1127,3468,,0,48,2,1,,,,,
12,,,4,37,,2368,1987,,,0,62,2,4,,,,,
20,,,4,,,2369,297,3265,,1,69,2,71,,,,,
20,,,4,,,2369,1985,,,1,71,3,86,,,,,
20,,,4,,,2369,2591,279,,1,60,3,56,,,,,
20,,,4,,,2370,1277,,,1,67,1,60,,,,,
20,,,4,,,2370,345,,,1,71,1,63,,,,,
2,10,,56,4,,2371,395,,,1,69,2,124,,,,,
2,28,,4,,,2372,29,20,36,1,60,3,128,,,,,
1,30,34,24,,,2373,3169,,,0,71,1,2,,,,,
9,1,27,21,,,12,3024,,,0,71,2,2,,,,,
5,1,22,37,,,2374,1274,,,0,69,3,1,,,,,
5,1,22,10,,,2375,1233,,,0,67,3,1,,,,,
10,11,18,64,,,2376,291,,,1,69,1,99,,,,,
7,31,28,21,,,2377,691,3325,,1,69,2,88,,,,,
5,22,,4,,,2378,810,,,0,71,3,2,,,,,
2,10,18,4,14,16,2379,587,,,1,68,1,106,,,,,
12,,,4,45,,2380,838,,,0,67,1,1,,,,,
12,,,19,,,12,2915,,,0,66,1,2,,,,,
12,,,10,,,2381,61,,,0,68,1,1,,,,,
12,,,22,,,12,2710,,,0,70,1,1,,,,,
6,,,4,,,2382,2307,,,1,68,2,78,,,,,
2,10,,6,,,2383,2034,,,1,69,1,128,,,,,
27,,,4,,,2384,1119,,,0,65,1,1,,,,,
13,2,17,12,4,,1265,588,,,1,56,3,136,,,,,
12,26,,19,22,37,107,201,,,0,70,3,4,,,,,
2,10,11,14,,,1529,1450,,,1,70,3,129,,,,,
20,,,4,,,1580,2498,,,1,71,1,62,,,,,
2,10,29,6,,,571,2636,3326,,1,68,1,129,,,,,
1,,22,22,,,2385,2234,,,0,66,3,1,,,,,
13,7,10,33,,,2386,2823,,,1,69,1,81,,,,,
1,30,23,10,,,469,2169,,,0,71,1,1,,,,,
5,1,34,2,,,2387,1207,,,0,67,1,1,,,,,
21,,,37,,,2388,62,,,1,67,2,90,,,,,
1,30,23,32,,,2389,2476,,,0,68,3,1,,,,,
2,10,18,3,,,2390,2443,,,1,66,1,89,,,,,
2,10,,11,21,19,1714,1548,,,1,66,1,130,,,,,
35,,,4,,,2391,602,3427,,1,69,1,85,,,,,
1,,30,22,,,2392,499,,,0,64,2,1,,,,,
6,,,4,,,12,2685,,,1,63,3,90,,,,,
1,30,23,32,,,1047,842,,,0,67,1,1,,,,,
6,29,,4,,,2393,952,,,1,67,2,94,,,,,
2,28,,4,,,2394,1952,,,1,68,2,86,,,,,
6,,,4,89,104,2395,2317,,,1,66,3,94,,,,,
6,,,4,21,,12,2642,,,1,69,3,100,,,,,
4,10,29,6,,,1163,2512,,,1,60,1,119,,,,,
4,2,,21,7,,2396,2845,,,1,71,1,107,,,,,
7,10,35,54,,,2397,1479,,,1,66,1,93,,,,,
2,28,,4,,,86,307,,,1,67,2,109,,,,,
6,,,4,,,2398,2970,,,1,66,2,93,,,,,
20,,,4,,,2399,126,,,1,70,3,57,,,,,
20,,,21,,,2400,726,,,1,71,2,64,,,,,
1,26,23,37,,,2401,1750,,,0,70,3,1,,,,,
16,1,,37,,,1087,1428,,,0,66,3,1,,,,,
16,1,,10,,,2279,1654,,,0,68,3,2,,,,,
2,28,10,6,,,1308,2055,,,1,68,1,109,,,,,
4,3,28,4,,,2402,2887,,,1,69,1,92,,,,,
4,2,10,6,,,1523,947,,,1,68,2,168,,,,,
2,28,18,4,,,2403,863,,,1,67,1,93,,,,,
2,10,,9,,,2404,875,,,1,71,2,100,,,,,
12,,,19,,,2405,2021,,,0,67,3,1,,,,,
2,10,18,6,,,2406,2159,,,1,69,3,139,,,,,
1,,30,22,,,2407,1381,3572,7,0,66,1,1,,,,,
7,2,10,9,,,529,1858,,,1,70,1,92,,,,,
2,,,4,,,1175,1501,,,1,55,2,119,,,,,
1,34,22,2,,,2408,2003,,,0,71,3,1,,,,,
18,,,4,14,,2409,3215,3470,,1,68,3,84,,,,,
9,1,27,10,,,12,682,,,0,67,1,1,,,,,
4,7,,4,,,120,2925,,,1,49,2,96,,,,,
7,2,10,5,,,1192,2423,,,1,71,1,122,,,,,
12,,,10,,,2410,820,,,0,69,1,1,,,,,
9,15,,21,,,2411,3127,,,0,66,3,1,,,,,
5,1,26,8,,,2412,275,,,0,70,3,1,,,,,
13,7,,12,,,2413,308,,,1,68,1,83,,,,,
7,10,,15,,,2414,957,3451,,1,69,1,117,,,,,
13,,,26,21,,2415,2162,3254,,1,69,1,93,,,,,
13,,,4,,,2416,2591,,,1,65,2,73,,,,,
13,29,,4,,,2417,2591,,,1,67,2,72,,,,,
13,,,4,,,479,2108,3269,,1,64,2,46,,,,,
13,,,4,,,2418,834,,,1,66,2,74,,,,,
13,,,4,,,1455,2605,,,1,65,2,46,,,,,
13,,,4,,,479,1990,,,1,63,2,46,,,,,
13,,,4,,,2419,2288,,,1,66,2,74,,,,,
13,,,4,,,1455,1044,,,1,64,2,71,,,,,
13,,,4,,,2420,2580,,,1,68,2,72,,,,,
13,,,4,,,12,2908,,,1,67,2,76,,,,,
13,,,4,,,479,924,,,1,62,2,23,,,,,
13,,,4,,,1455,1547,,,1,65,2,60,,,,,
13,,,4,,,1455,1192,,,1,65,2,46,,,,,
13,7,,4,,,2421,1331,,,1,58,2,91,,,,,
13,,,6,2,,2422,879,,,1,69,1,81,,,,,
7,35,,4,26,,2423,3173,,,1,57,1,101,,,,,
4,2,28,21,,,2424,431,,,1,66,1,119,,,,,
9,15,1,21,,,12,254,,,0,65,3,1,,,,,
9,15,1,21,,,577,328,,,0,63,3,1,,,,,
4,24,7,21,,,2425,2685,,,1,27,3,92,,,,,
9,15,23,21,,,1856,954,,,0,66,3,1,,,,,
6,,,10,,,2425,883,,,1,60,1,55,,,,,
7,,,21,,,2426,2213,,,1,66,3,137,,,,,
7,6,,21,,,2425,1903,,,1,52,2,56,,,,,
7,6,,4,,,2427,1502,,,1,50,3,58,,,,,
7,,,21,4,,2425,244,,,1,34,3,80,,,,,
6,,,21,,,2426,2063,,,1,66,3,94,,,,,
9,15,,21,,,2425,2003,,,0,61,3,1,,,,,
1,23,,21,60,,2425,1703,,,0,24,3,1,,,,,
9,32,1,21,,,2426,233,,,0,26,3,4,,,,,
24,7,31,21,,,2425,892,,,1,31,3,94,,,,,
9,23,,4,,,2426,1623,3444,,0,57,3,1,,,,,
5,1,34,24,,,2428,1412,928,,0,70,3,1,,,,,
2,28,11,21,4,,2429,52,,,1,61,3,97,,,,,
2,28,,4,,,2430,1472,,,1,68,2,111,,,,,
4,7,10,19,52,,1604,495,3478,,1,67,2,96,,,,,
2,28,10,29,4,,2431,572,3452,,1,67,3,135,,,,,
1,22,,15,,,2432,1436,,,0,70,1,1,,,,,
9,12,,33,,,12,725,,,0,63,1,1,,,,,
2,28,10,26,4,,2433,926,,,1,68,1,91,,,,,
5,1,22,19,,,2434,3065,,,0,71,2,1,,,,,
6,,,4,,,12,867,,,1,65,3,84,,,,,
2,10,,6,,,2435,867,,,1,63,2,121,,,,,
20,,,4,,,2436,867,,,1,64,2,61,,,,,
1,26,22,38,,,2437,678,,,0,69,3,2,,,,,
1,30,22,1,,,2438,2499,,,0,71,3,1,,,,,
6,10,,12,,,525,1611,,,1,68,1,83,,,,,
12,,,4,,,12,2613,,,0,68,3,2,,,,,
7,10,,6,,,2240,2268,,,1,68,1,117,,,,,
12,,,30,4,,12,2393,,,0,71,3,2,,,,,
13,7,,6,,,2439,1680,,,1,68,2,109,,,,,
4,6,10,30,,,12,632,,,1,69,2,74,,,,,
7,,,4,,,1344,465,,,1,65,1,94,,,,,
15,,,4,,,12,2842,,,0,70,3,3,,,,,
1,22,,10,,,2440,143,,,0,68,3,1,,,,,
4,13,2,21,4,,299,3150,,,1,70,2,105,,,,,
2,10,18,6,,,2441,889,3421,,1,70,1,131,,,,,
2,,,4,,,991,1651,3532,9,1,68,3,105,,,,,
6,10,,38,45,26,2442,144,3268,,1,67,3,102,,,,,
23,,,4,,,1397,2254,,,0,71,3,1,,,,,
2,28,10,2,,,866,274,,,1,68,1,97,,,,,
7,28,,4,,,1553,2526,,,1,69,2,91,,,,,
1,,30,22,,,2443,1929,,,0,70,3,1,,,,,
7,2,10,23,,,2444,906,,,1,36,1,86,,,,,
7,,,4,,,2445,595,,,1,59,1,88,,,,,
12,23,,12,,,2446,3190,,,0,65,1,2,,,,,
7,10,,15,,,2447,2175,,,1,64,1,90,,,,,
7,2,10,6,,,559,1636,,,1,69,1,153,,,,,
2,28,10,49,4,19,2448,2223,,,1,68,3,96,,,,,
2,28,10,19,90,,2449,1241,3453,,1,67,1,104,,,,,
2,10,,5,,,2450,2377,,,1,67,3,136,,,,,
2,28,,4,,,922,693,,,1,69,3,135,,,,,
4,10,,6,,,2451,1701,,,1,64,1,150,,,,,
7,10,35,6,,,2248,3231,,,1,56,2,158,,,,,
4,2,10,6,,,2452,2994,,,1,41,2,163,,,,,
2,28,10,6,,,2453,921,,,1,64,2,77,,,,,
7,10,35,6,,,2153,2555,,,1,66,2,107,,,,,
7,10,35,6,,,1859,1186,,,1,55,1,116,,,,,
2,10,,6,,,2454,2667,,,1,60,3,135,,,,,
3,10,,54,,,2455,3210,,,1,70,3,104,,,,,
7,10,29,6,,,2456,2863,,,1,66,1,139,,,,,
13,,,19,,,2457,2005,,,1,66,3,85,,,,,
7,2,10,6,,,2458,2238,,,1,69,3,128,,,,,
4,10,,6,,,2459,522,,,1,63,2,134,,,,,
9,5,15,21,,,2460,357,,,0,69,3,3,,,,,
5,15,,4,,,12,2753,,,0,70,2,1,,,,,
7,,,4,,,210,1480,,,1,71,1,98,,,,,
7,31,3,4,,,2461,3068,,,1,59,1,79,,,,,
5,15,,4,,,12,2977,,,0,69,2,3,,,,,
1,30,23,32,,,2462,1701,,,0,67,3,1,,,,,
2,28,10,6,,,2288,674,,,1,71,2,102,,,,,
7,2,28,4,,,643,1839,,,1,69,2,86,,,,,
12,23,,14,,,2463,313,,,0,69,1,2,,,,,
11,18,,21,26,,2464,2069,,,1,70,1,127,,,,,
4,24,2,4,,,2465,770,,,1,14,2,185,,,,,
6,10,,6,,,12,1465,,,1,67,2,136,,,,,
12,23,,12,,,2466,648,,,0,64,3,2,,,,,
13,7,,12,,,2466,2025,,,1,62,3,80,,,,,
6,10,,21,,,2467,2227,,,1,68,2,84,,,,,
7,10,,14,,,2468,835,,,1,67,1,97,,,,,
2,10,18,6,,,2469,1810,,,1,70,1,92,,,,,
2,28,10,6,,,1712,1553,,,1,57,3,116,,,,,
1,,26,22,,,2470,3014,,,0,71,3,1,,,,,
2,,,4,,,2471,1470,,,1,69,1,95,,,,,
1,30,,32,,,2472,1142,,,0,69,3,1,,,,,
1,30,23,8,,,2473,2571,3549,,0,71,1,1,,,,,
7,10,,15,,,549,460,,,1,65,1,99,,,,,
7,28,,4,,,2001,325,,,1,68,1,77,,,,,
2,10,35,34,,,2474,1269,,,1,69,2,121,,,,,
7,35,,12,,,2475,228,,,1,67,1,91,,,,,
1,,30,22,,,2476,255,,,0,71,3,2,,,,,
7,10,11,6,,,1814,1349,3554,,1,63,1,100,,,,,
7,10,,26,,,2477,1546,,,1,59,1,91,,,,,
2,,,4,,,2478,1682,3311,,1,43,2,102,,,,,
2,28,10,67,26,19,2479,172,,,1,69,3,119,,,,,
2,,,16,,,2480,1898,,,1,67,1,115,,,,,
9,1,27,21,,,2481,2175,,,0,69,1,1,,,,,
1,30,22,37,,,2482,2482,,,0,71,1,1,,,,,
7,2,10,68,19,,2483,1283,3276,,1,68,3,68,,,,,
1,19,,10,,,2484,2728,,,0,69,1,1,,,,,
5,1,,22,,,2485,1201,,,0,68,2,1,,,,,
13,,,4,,,506,3056,,,1,70,2,44,,,,,
13,7,,4,,,536,991,3394,,1,67,2,72,,,,,
13,7,,4,12,,536,2978,,,1,68,2,73,,,,,
13,7,,4,12,,536,2830,,,1,66,3,73,,,,,
13,,,4,12,,506,2364,3414,,1,70,1,44,,,,,
13,,,4,,,536,749,,,1,70,1,44,,,,,
12,,,4,12,,506,1378,,,0,70,3,8,,,,,
1,30,22,32,,,394,1952,,,0,54,2,1,,,,,
19,,,4,,,291,556,3558,,0,71,3,2,,,,,
10,,,10,,,386,454,,,1,71,3,61,,,,,
1,,30,22,,,2486,3188,,,0,69,3,1,,,,,
7,2,10,10,,,2487,3186,,,1,65,1,104,,,,,
6,,,4,,,2488,2874,3388,,1,67,2,82,,,,,
10,35,,12,,,2489,974,,,1,70,1,92,,,,,
1,22,,10,,,2490,203,,,0,70,3,1,,,,,
1,,30,22,,,2491,1336,,,0,68,2,1,,,,,
1,,30,22,,,2492,579,,,0,69,3,1,,,,,
4,7,10,23,,,2493,1031,1908,,1,53,1,90,,,,,
6,,,21,,,2494,2591,,,1,67,2,99,,,,,
2,,,4,,,819,2591,,,1,61,3,109,,,,,
7,2,28,4,,,2495,2901,,,1,61,3,111,,,,,
9,15,,21,,,2377,2544,,,0,65,1,1,,,,,
18,,,4,,,2496,432,,,1,70,1,86,,,,,
7,10,,5,,,2497,3203,,,1,69,2,111,,,,,
4,2,10,8,,,2498,2731,,,1,64,2,108,,,,,
6,10,,16,,,2499,1666,,,1,68,3,101,,,,,
2,35,,21,4,,2500,1304,,,1,63,2,99,,,,,
7,10,35,9,,,957,2567,,,1,69,1,100,,,,,
7,10,,10,,,2501,2376,,,1,66,1,99,,,,,
23,33,,4,,,2502,1628,,,0,51,3,1,,,,,
23,33,,4,,,2503,2315,,,0,70,3,2,,,,,
2,18,,4,30,,2372,1165,3424,,1,55,3,138,,,,,
1,22,25,10,,,2504,1267,,,0,66,3,1,,,,,
3,10,,6,,,2505,1563,3253,,1,69,1,88,,,,,
1,23,22,19,,,2506,2676,,,0,71,2,1,,,,,
9,15,,21,,,2460,760,,,0,69,3,1,,,,,
2,10,,6,,,2507,2198,,,1,65,3,122,,,,,
4,10,,6,,,2508,1376,,,1,69,2,141,,,,,
4,2,10,6,,,2509,2058,,,1,66,2,147,,,,,
7,17,,4,2,,1149,781,,,1,58,1,92,,,,,
6,10,,16,6,,12,1345,,,1,68,2,73,,,,,
27,,,4,,,2510,769,,,0,71,3,3,,,,,
1,27,,19,,,2511,1701,,,0,71,2,1,,,,,
1,27,,10,,,2512,773,,,0,72,1,1,,,,,
27,,,4,,,2510,2256,,,0,71,3,2,,,,,
1,27,34,4,2,,933,654,3401,,0,71,2,1,,,,,
1,27,34,14,,,2513,2599,,,0,71,1,1,,,,,
3,,,46,,,2514,1183,,,1,69,1,85,,,,,
7,35,,4,,,2287,1942,,,1,69,3,97,,,,,
6,,,4,91,,12,587,,,1,68,3,91,,,,,
4,7,10,6,,,181,1069,,,1,34,3,171,,,,,
2,10,35,6,,,205,494,,,1,59,3,130,,,,,
2,28,,4,,,2515,494,,,1,68,2,80,,,,,
3,10,35,8,,,2516,2011,,,1,51,2,101,,,,,
7,2,,4,,,2517,2554,,,1,67,1,91,,,,,
7,2,35,4,,,2518,2365,,,1,70,2,99,,,,,
5,26,22,4,43,2,2519,2836,,,0,69,3,3,,,,,
5,26,22,2,4,,1272,2244,,,0,70,3,1,,,,,
5,15,,4,,,12,3037,,,0,71,2,1,,,,,
16,1,,37,,,2520,2548,,,0,60,3,9,,,,,
4,21,10,37,,,2520,2435,,,1,60,2,93,,,,,
4,21,10,37,,,2520,748,,,1,61,3,96,,,,,
4,21,10,37,,,2520,1794,,,1,63,3,102,,,,,
4,21,10,37,,,2520,1851,,,1,59,2,95,,,,,
4,21,10,37,,,2520,2180,,,1,62,2,85,,,,,
4,21,10,37,,,2520,1914,,,1,57,2,97,,,,,
4,21,10,37,,,2520,128,3404,,1,58,2,95,,,,,
4,21,10,37,,,1703,2676,,,1,56,2,83,,,,,
2,10,35,6,,,2521,1557,,,1,65,1,115,,,,,
20,,,49,,,2522,1198,,,1,70,1,69,,,,,
20,,,4,,,2522,844,3569,,1,69,2,76,,,,,
8,,,4,,,12,2328,,,1,62,1,51,,,,,
20,,,4,,,2523,1602,,,1,71,3,61,,,,,
2,28,10,6,,,2524,2171,,,1,70,2,114,,,,,
6,,,4,,,12,737,,,1,68,2,92,,,,,
4,7,28,10,,,2525,737,,,1,45,2,82,,,,,
6,,,4,,,2526,737,,,1,68,2,42,,,,,
4,13,,4,,,558,737,,,1,56,2,131,,,,,
2,10,,6,,,1440,3201,,,1,68,1,165,,,,,
7,,,4,,,2527,270,,,1,68,1,91,,,,,
2,28,,4,,,2528,2779,,,1,67,1,101,,,,,
15,,,21,4,,2529,1593,1343,,0,70,3,1,,,,,
15,,,4,,,2530,3221,,,0,68,3,1,,,,,
6,,,4,,,218,1431,,,1,68,3,53,,,,,
9,15,,4,21,,218,882,,,0,61,1,1,,,,,
9,15,,4,21,,218,1027,,,0,61,1,1,,,,,
9,15,,21,,,1777,2091,,,0,68,2,1,,,,,
9,15,,21,,,2531,1643,,,0,67,2,3,,,,,
7,10,29,6,,,2532,2429,,,1,65,2,121,,,,,
24,6,,4,,,12,2429,,,1,5,3,59,,,,,
15,,,4,,,12,2039,,,0,68,3,3,,,,,
5,22,,4,,,2533,2071,,,0,69,3,15,,,,,
20,,,4,,,930,2000,,,1,69,3,66,,,,,
4,2,10,6,,,2534,559,,,1,68,1,103,,,,,
2,10,35,6,,,2535,3249,,,1,70,2,132,,,,,
23,33,,4,,,2536,1921,3439,39,0,70,2,2,,,,,
16,1,,37,,,1253,1449,,,0,47,3,1,,,,,
2,10,,49,24,19,2537,1669,2309,,1,68,2,108,,,,,
23,,,4,,,1576,473,,,0,68,1,1,,,,,
2,,,4,,,2538,1073,,,1,70,2,89,,,,,
30,23,,4,,,2539,2228,,,0,69,3,7,,,,,
2,10,,9,,,2540,2099,,,1,70,1,107,,,,,
13,7,,4,,,2541,1873,,,1,56,1,91,,,,,
2,28,35,4,,,193,680,,,1,69,2,117,,,,,
6,,,4,,,12,2630,,,1,68,1,84,,,,,
4,11,,4,,,558,2559,,,1,59,2,96,,,,,
7,2,10,6,,,2542,1725,,,1,70,1,117,,,,,
13,7,11,31,12,4,2543,2549,,,1,70,2,106,,,,,
4,2,10,6,,,2544,3157,,,1,69,2,124,,,,,
2,28,18,4,,,2545,2994,,,1,65,1,113,,,,,
25,,33,4,,,2546,1213,,,0,70,1,1,,,,,
1,,22,22,,,2547,1388,,,0,68,2,1,,,,,
9,1,27,10,,,2548,2386,3373,3,0,68,1,2,,,,,
2,35,,4,30,,712,470,,,1,60,1,97,,,,,
20,,,4,,,2549,804,,,1,71,1,64,,,,,
2,10,35,6,,,2524,2907,,,1,68,2,94,,,,,
4,,,26,4,,1099,255,,,1,61,2,99,,,,,
16,12,,37,,,2550,294,,,0,33,2,1,,,,,
12,23,,12,4,,2551,962,3419,,0,49,1,1,,,,,
4,21,13,37,,,2552,962,3483,,1,71,1,107,,,,,
5,15,1,10,,,12,673,,,0,72,3,1,,,,,
7,10,,5,,,544,2538,3466,,1,67,1,102,,,,,
7,2,10,6,,,2553,968,,,1,70,3,125,,,,,
7,10,,6,,,559,2339,,,1,57,2,161,,,,,
7,2,10,49,,,2554,1597,,,1,70,1,116,,,,,
4,21,11,37,,,771,1952,,,1,69,3,106,,,,,
12,23,22,4,,,2555,2396,,,0,71,2,2,,,,,
2,10,,6,,,238,3046,,,1,63,2,131,,,,,
2,10,,2,,,2556,1665,3508,,1,69,2,102,,,,,
2,10,35,34,,,403,417,3485,,1,63,2,103,,,,,
7,35,,4,,,2557,2589,,,1,59,2,104,,,,,
1,27,34,24,,,2558,506,,,0,71,1,1,,,,,
30,23,22,4,,,1404,2544,,,0,68,3,1,,,,,
1,22,,11,,,2559,1129,,,0,68,3,1,,,,,
2,28,10,6,,,2560,1591,,,1,71,1,109,,,,,
6,,,33,4,,12,1886,,,1,69,1,96,,,,,
1,23,22,1,,,2561,2713,,,0,71,3,1,,,,,
12,,,19,21,4,12,765,,,0,68,2,2,,,,,
19,23,,4,,,12,3056,,,0,70,3,1,,,,,
20,,,4,,,2562,3141,,,1,69,2,61,,,,,
13,,,6,4,,2563,2119,,,1,71,1,92,,,,,
13,7,,4,6,22,2564,149,,,1,71,1,90,,,,,
6,,,4,,,2565,3032,,,1,68,2,91,,,,,
1,23,,11,,,2566,2428,,,0,70,3,2,,,,,
9,30,22,21,,,2567,2201,,,0,56,3,1,,,,,
22,,,12,,,2568,2402,,,0,71,3,1,,,,,
6,,,4,,,12,3074,,,1,69,2,50,,,,,
6,2,10,21,,,2569,1062,,,1,68,2,87,,,,,
7,2,10,19,52,,2570,716,,,1,70,2,94,,,,,
2,,10,1,,,2571,2755,,,1,70,2,133,,,,,
2,,10,1,,,2571,2599,,,1,71,1,97,,,,,
13,6,,4,,,2572,868,,,1,69,3,53,,,,,
6,,,4,,,2573,1087,,,1,70,3,113,,,,,
6,,,4,,,2574,1922,,,1,69,3,53,,,,,
6,,,4,,,2574,805,3420,,1,69,2,54,,,,,
6,,,4,,,2572,2596,3498,,1,69,3,53,,,,,
