@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
3,11,18,4,12,352,1713,?,63,1,87
3,10,18,21,4,353,659,?,70,1,130
4,7,10,19,12,354,101,?,67,2,107
2,10,?,1,19,355,3246,?,68,2,146
5,22,?,4,?,356,1590,?,68,2,2
4,10,11,19,?,357,265,28,68,2,80
2,28,?,4,?,358,3191,?,67,2,79
20,?,?,43,?,359,938,?,70,1,62
15,1,?,10,?,360,659,?,71,1,1
12,23,?,10,?,361,938,?,71,3,1
2,10,35,19,52,362,659,938,68,1,81
7,2,10,15,?,363,385,3393,70,1,87
1,22,25,10,?,364,2248,?,72,1,1
1,?,22,22,?,365,347,?,69,3,1
19,?,?,4,?,366,1708,?,69,2,1
7,2,10,25,?,367,318,?,63,2,113
4,2,10,6,?,368,925,?,63,2,91
10,11,18,12,4,369,3137,?,68,2,89
23,?,?,4,?,370,2471,?,71,3,5
5,26,?,4,?,371,786,?,71,3,7
20,?,?,4,?,372,794,?,71,1,63
1,?,26,22,?,373,731,?,71,3,1
7,35,?,4,?,374,1603,?,63,2,110
13,7,?,21,4,375,2106,?,63,2,98
2,10,18,6,?,376,1177,?,71,3,125
2,10,?,25,22,377,1714,?,70,3,106
3,18,?,4,?,378,2657,?,66,2,93
7,35,?,4,?,379,2427,?,49,3,139
2,28,10,6,?,380,1773,?,70,1,90
2,10,29,6,?,381,1525,?,70,3,123
26,23,25,4,?,382,3158,3278,70,3,3
1,30,23,31,?,383,2007,?,70,3,1
15,1,?,30,?,384,549,?,69,2,1
12,?,?,4,?,385,1523,?,71,3,3
4,2,10,6,?,386,615,?,53,3,168
6,?,?,4,?,387,1879,?,68,2,83
3,11,18,4,?,388,3173,?,71,1,94
23,?,?,4,?,389,2089,?,71,3,1
7,10,?,48,?,390,514,?,67,1,100
4,2,10,22,?,391,114,3429,68,2,133
6,17,?,4,?,392,1660,?,68,2,81
2,11,?,12,?,393,1541,?,70,1,91
1,30,?,32,?,394,97,?,55,3,1
1,22,?,37,?,395,2893,3531,67,3,1
2,28,10,19,78,396,3034,?,71,2,106
7,10,35,4,12,397,2086,?,64,1,122
5,12,23,12,19,398,975,?,68,2,1
16,1,?,37,?,399,1622,?,65,3,1
6,10,?,21,?,400,1608,?,66,3,102
7,28,10,49,?,401,706,?,68,1,88
23,22,?,4,?,402,2463,?,71,3,3
6,?,?,4,?,12,305,?,68,2,99
3,10,?,34,?,403,660,?,70,1,98
6,?,?,21,?,404,2256,?,46,3,49
15,1,27,30,?,12,1375,3490,68,3,1
4,7,?,4,?,405,960,960,54,2,94
7,?,?,4,?,405,783,?,49,2,90
4,7,11,4,?,405,954,?,51,2,95
2,10,18,6,?,406,323,?,68,2,97
10,11,18,40,4,206,1487,?,66,1,110
1,30,22,32,?,407,93,?,61,3,1
4,?,?,21,?,408,1401,?,71,2,88
4,11,?,4,?,409,474,?,70,3,150
6,10,29,45,33,410,1401,?,69,3,97
3,11,?,21,?,411,1401,?,70,1,91
18,?,?,4,?,412,1124,?,71,1,92
27,?,?,4,?,413,1114,?,71,2,1
1,22,?,10,?,414,553,?,67,2,1
2,10,11,6,?,415,3079,?,70,3,111
2,10,?,6,?,416,3079,?,69,3,112
6,10,?,2,?,12,3079,?,70,3,73
2,10,17,6,?,417,3040,?,68,2,129
